raw.41_Ctrl_60_MB_02	raw.43_Ctrl_60_MUB_02	raw.45_Ctrl_60_cyt_02	raw.47_Ctrl_60_cytUB_02	raw.13_Ctrl_5_cyt_02	raw.14_Ctrl_5_MB_02	raw.01_Ctrl_5_cyt_01	raw.02_Ctrl_5_MB_01	raw.05_Ctrl_15_cyt_01	raw.06_Ctrl_15_MB_01	raw.17_Ctrl_5_cyt_03	raw.18_Ctrl_5_MB_03	raw.21_Ctrl_15_cyt_02	raw.22_Ctrl_15_MB_02	raw.25_Ctrl_15_cyt_03	raw.26_Ctrl_15_MB_03	raw.29_Ctrl_60_cyt_03	raw.30_Ctrl_60_MB_03	raw.33_Ctrl_60_cytUB_01	raw.35_Ctrl_60_MUB_01	raw.37_Ctrl_60_cyt_01	raw.39_Ctrl_60_MB_01
chr12_2529701_2529704_+	10	3	45	14	64	27	60	29	74	34	83	34	81	44	72	29	67	36	4	1	48	20
chr5_30475602_30475631_+	16	5	84	24	143	55	77	44	182	70	111	43	153	62	183	94	134	47	6	3	89	26
chr12_36225064_36225120_+	30	10	48	20	64	58	60	51	76	77	116	86	104	103	122	105	71	96	0	0	25	28
chr13_68741756_68741798_+	6	3	42	8	40	10	29	15	44	24	41	12	47	31	55	18	49	7	0	1	38	13
chr4_143874217_143874276_+	21	12	54	18	100	91	45	71	126	135	104	75	123	145	125	130	86	92	3	2	96	53
chr4_143874905_143874931_+	21	11	38	14	57	54	27	49	78	94	58	62	80	95	65	68	50	51	2	2	59	32
chr7_116127544_116127546_-	5	0	28	5	71	14	47	8	67	10	70	17	74	18	69	17	61	15	4	0	34	11
chr3_56186668_56186739_-	13	4	96	32	172	19	156	23	191	47	264	36	287	55	294	59	192	30	6	0	78	15
chr1_64170848_64170901_-	9	0	19	4	29	13	12	8	27	16	23	8	33	20	29	15	30	4	0	0	17	3
chr18_28596134_28596184_+	2	2	3	1	202	80	176	86	254	98	263	112	248	127	344	167	302	133	1	0	127	34
chr4_56810118_56810130_+	6	3	23	7	70	28	50	20	71	27	97	42	84	49	96	48	82	44	0	0	34	13
chr1_199188181_199188259_+	4	1	24	6	36	19	26	9	33	21	29	12	45	27	44	18	37	21	0	0	24	10
chr4_143831344_143831402_+	22	12	67	25	74	52	64	56	91	93	59	45	80	94	79	79	68	56	5	3	73	47
chr19_41669225_41669296_-	7	3	81	20	104	25	139	10	145	19	157	27	138	17	204	28	167	15	0	0	56	3
chr6_42783324_42783325_-	4	4	62	12	111	24	96	22	116	39	152	32	127	40	135	36	86	29	0	0	54	11
chr14_7175956_7176013_-	8	3	33	9	44	17	33	11	57	16	64	23	83	24	68	19	61	23	0	0	33	6
chr1_148524251_148524263_+	7	3	73	10	157	24	94	24	155	27	171	18	182	43	213	33	152	34	7	0	71	5
chr5_144084011_144084098_+	7	1	35	11	95	38	56	27	93	56	104	50	143	58	159	72	107	52	7	0	53	16
chr13_80234541_80234548_-	0	0	0	1	70	100	50	126	86	154	70	122	84	150	107	190	67	136	0	1	49	67
chr5_30478804_30478850_+	40	16	134	46	156	48	192	84	198	68	136	41	178	58	241	86	158	46	13	3	160	52
chr1_207332881_207332967_+	21	9	47	25	51	47	44	40	89	80	55	55	88	90	108	84	62	57	2	3	57	38
chr1_253228559_253228626_+	5	4	38	6	94	22	81	9	104	34	124	22	106	36	133	28	99	24	0	0	32	9
chr15_45791977_45792048_+	9	6	36	6	33	13	31	14	32	23	21	16	25	27	37	32	21	20	2	0	39	12
chr5_63262067_63262151_-	21	7	10	1	17	46	20	26	16	55	24	35	13	66	18	47	5	46	1	1	5	27
chr1_64162841_64162923_-	10	3	38	16	31	14	22	8	44	20	31	21	58	26	63	29	60	17	2	2	59	14
chr19_9818924_9819016_-	4	3	56	17	87	28	78	13	102	23	133	26	137	34	124	22	86	33	7	0	72	16
chr3_105668398_105668415_-	15	7	55	15	63	31	46	30	86	49	88	36	129	64	138	76	92	39	0	0	20	7
chr8_125499371_125499376_+	2	1	12	0	23	2	21	1	26	2	43	5	34	9	44	12	20	6	0	0	11	4
chr3_105671791_105671854_-	33	14	64	28	210	153	195	136	278	166	273	260	260	263	317	235	283	225	2	0	123	27
chr13_68735138_68735174_+	16	8	85	22	51	45	39	43	127	57	80	43	93	63	137	94	97	47	5	3	44	22
chr1_178003983_178004018_-	1	4	20	1	308	73	204	52	312	64	321	76	350	101	437	117	356	105	1	0	121	20
chr8_85374867_85374913_-	13	5	37	11	47	38	38	53	91	41	60	35	82	53	103	52	31	23	3	1	28	12
chr2_250793589_250793630_-	2	0	15	1	56	7	24	7	52	6	25	0	55	6	59	10	41	9	0	0	21	0
chr5_75745298_75745301_+	1	0	12	1	28	6	21	6	27	6	28	5	30	4	31	3	34	2	0	0	12	6
chr4_143899570_143899653_+	47	25	83	28	79	105	78	111	108	164	76	97	78	161	92	159	59	100	7	8	109	86
chr8_113706011_113706070_-	1	1	0	0	160	57	135	42	174	55	239	85	248	95	227	77	193	63	0	0	88	20
chr6_94682052_94682060_-	4	4	54	5	34	13	39	14	36	22	57	18	39	27	67	47	59	20	1	0	29	6
chr20_1577887_1577888_-	11	2	11	3	3	12	5	12	6	17	5	14	4	12	9	15	6	12	0	0	4	7
chr11_28106769_28106788_-	4	0	14	4	15	15	9	4	18	11	21	15	13	18	17	19	23	12	1	1	20	15
chr13_68724184_68724195_+	15	8	85	38	87	25	111	29	143	47	166	54	179	78	182	70	133	40	4	0	65	18
chr1_27539665_27539752_+	7	4	26	10	68	23	78	30	88	31	98	26	81	40	152	55	92	21	3	0	49	17
chr13_68724170_68724172_+	3	0	13	0	8	2	10	5	13	13	15	3	20	9	19	8	10	4	0	0	7	1
chr5_30473690_30473740_+	14	11	84	19	147	40	135	39	202	50	121	31	169	56	218	74	143	45	8	1	103	28
chr14_77946507_77946588_+	29	19	28	7	27	71	14	57	37	109	16	65	32	131	28	129	22	64	5	2	31	53
chr10_59879036_59879134_+	9	1	5	0	4	23	2	8	3	24	5	11	5	19	12	23	1	17	0	0	1	17
chr10_72794453_72794467_-	15	8	141	47	226	43	161	41	239	48	251	57	291	62	330	96	272	68	0	0	77	11
chr4_143881422_143881519_+	35	20	67	23	59	74	53	83	89	114	56	89	82	138	69	93	45	73	10	9	121	93
chr4_143893097_143893196_+	12	9	40	18	36	56	13	36	57	80	40	38	45	76	45	42	35	45	0	1	54	37
chr7_24531662_24531680_+	3	0	8	0	4	2	1	1	5	6	2	3	10	4	12	5	2	2	0	0	2	1
chr18_56879135_56879143_+	8	6	24	8	31	23	22	17	50	26	45	23	42	41	54	41	48	21	1	0	37	21
chr9_91689600_91689670_-	0	1	1	0	123	34	96	38	124	43	173	46	174	59	190	62	127	45	0	0	62	14
chr5_59522073_59522102_-	1	1	11	0	39	4	28	6	31	2	40	5	46	9	41	6	37	3	0	0	17	2
chr17_85654872_85654883_-	0	2	19	0	123	15	108	15	123	10	149	14	144	30	153	26	130	31	0	0	41	4
chr13_68740765_68740847_+	6	3	49	11	31	12	29	9	52	25	60	20	70	45	76	34	62	21	1	4	61	16
chr10_61870705_61870767_-	2	1	18	5	46	23	24	12	49	18	55	18	31	25	63	28	46	22	0	0	23	9
chr14_105005287_105005383_+	6	2	27	5	47	8	33	11	41	17	63	19	56	17	59	23	34	9	1	0	16	2
chr1_94826265_94826355_+	9	7	20	6	18	17	5	23	29	34	30	26	22	40	35	39	28	29	1	0	28	29
chr1_148900197_148900238_+	3	1	10	1	17	3	6	4	26	8	11	4	14	11	19	5	11	3	0	0	9	5
chr4_143913667_143913693_+	4	4	17	4	9	20	11	20	13	26	12	25	14	34	16	29	20	20	2	2	38	31
chr10_72806484_72806560_-	43	25	198	57	229	96	208	96	317	116	271	115	296	126	389	178	299	119	0	0	139	31
chr6_104471799_104471847_+	7	0	44	19	75	30	20	23	69	32	39	18	53	28	64	31	50	29	3	1	45	8
chr14_77935554_77935648_+	20	9	17	7	28	65	28	37	39	103	37	58	45	88	42	103	23	83	3	1	24	27
chr4_122612187_122612193_-	5	0	8	2	7	8	6	10	13	18	13	17	12	13	18	18	11	16	0	0	8	7
chr12_2529950_2529952_+	11	7	34	9	52	30	47	21	56	35	64	30	69	42	62	30	73	29	6	0	53	16
chr1_8168135_8168232_-	2	4	54	8	91	15	74	7	75	12	87	12	111	15	130	30	93	17	0	0	44	11
chr1_235765559_235765561_-	2	0	12	0	10	5	22	8	23	4	34	2	33	10	30	8	18	7	0	0	9	1
chr1_179815997_179816081_-	8	1	25	10	33	12	12	12	41	17	25	9	39	18	44	21	22	16	3	0	22	8
chr4_152343657_152343661_+	7	4	61	26	100	18	70	18	86	24	111	26	100	31	131	31	120	32	0	0	43	12
chr7_27840387_27840468_+	4	3	30	8	28	2	19	7	30	7	24	9	40	11	39	7	22	2	1	1	31	7
chr10_82588137_82588197_-	9	2	78	46	144	32	127	27	154	31	215	34	219	52	237	42	171	32	1	0	78	10
chr2_127698777_127698834_+	8	3	49	26	113	21	97	24	118	26	160	39	143	29	160	38	137	22	0	0	54	11
chr18_28610865_28610934_+	13	12	67	21	66	50	52	40	85	56	79	51	65	63	92	83	93	56	1	0	44	14
chr7_138395593_138395656_-	3	1	13	2	34	7	41	14	60	15	57	18	56	18	74	27	51	15	0	0	18	2
chr10_56624233_56624287_-	2	0	24	6	88	15	89	27	113	33	147	25	153	31	155	23	129	35	0	0	15	6
chrX_123585775_123585777_+	2	2	10	3	72	32	72	25	94	46	91	41	93	46	82	35	61	20	1	0	39	14
chr4_165818026_165818091_+	4	1	19	5	38	6	18	14	53	23	46	8	57	15	70	23	40	10	0	0	9	6
chr10_89627388_89627461_-	12	7	34	16	51	14	44	30	66	30	89	24	77	54	104	59	65	26	0	0	29	18
chr1_265329516_265329606_-	3	0	13	5	15	7	5	4	15	9	9	10	14	6	24	3	10	10	0	0	20	7
chr1_94823413_94823467_+	7	3	5	1	7	16	8	23	14	30	14	21	6	32	8	29	7	19	0	0	11	13
chr4_143979480_143979572_+	10	5	21	7	41	55	13	27	43	55	34	50	46	84	49	51	27	49	0	3	20	32
chr1_158140509_158140510_+	3	0	15	5	20	3	21	2	21	2	39	9	34	12	31	5	16	4	0	0	17	4
chr1_250054534_250054622_+	5	5	34	8	21	29	17	10	31	35	41	42	35	33	45	37	27	30	1	0	29	10
chr4_152375811_152375869_+	8	5	25	7	27	4	12	4	23	9	27	11	29	16	39	19	19	4	3	1	30	13
chr2_154668988_154669022_+	2	2	37	8	46	6	47	12	44	21	69	19	79	22	75	19	57	15	3	0	33	7
chr4_84852003_84852079_+	29	15	153	51	144	51	74	38	150	71	120	24	154	60	155	81	126	49	9	6	158	42
chr8_31584772_31584794_-	2	0	12	1	10	4	6	4	16	0	23	0	26	2	26	4	31	3	0	0	9	1
chr1_5744579_5744652_-	45	23	74	37	93	73	91	83	97	112	86	115	100	141	125	149	107	130	4	0	32	31
chr8_47030160_47030192_+	64	44	61	24	47	108	37	110	42	154	31	110	31	157	48	166	37	114	4	4	49	80
chr6_76177579_76177593_+	1	0	5	3	162	73	134	61	191	89	187	79	208	103	251	149	195	107	0	1	44	22
chr11_83403436_83403515_-	4	0	8	1	6	7	3	9	10	15	14	10	16	22	12	16	11	12	0	0	6	3
chr1_148690324_148690424_+	33	20	212	64	262	143	169	109	322	123	196	94	255	185	307	164	265	123	16	5	186	56
chr1_207355089_207355139_+	28	19	62	25	108	91	72	88	141	145	80	68	115	126	178	139	126	116	8	3	79	45
chr1_180921711_180921746_-	21	17	74	3	229	54	197	44	233	52	301	56	271	68	330	68	284	67	1	0	113	22
chr3_59904415_59904487_-	7	3	31	12	43	19	9	9	36	17	32	13	58	28	40	28	39	21	1	0	36	6
chr4_143876495_143876496_+	2	2	10	2	15	21	7	7	10	17	12	11	18	14	21	16	15	17	0	0	16	14
chr9_110314906_110315002_+	0	0	14	2	17	3	15	4	26	6	14	3	18	4	33	7	22	6	0	0	17	1
chr1_64147758_64147824_-	9	7	62	29	62	45	78	39	91	54	65	43	106	75	95	57	62	38	0	0	95	34
chr4_143952704_143952705_+	6	2	14	6	8	12	7	9	15	13	11	14	11	19	16	17	11	13	1	0	16	13
chr3_155507614_155507648_+	8	7	48	19	102	27	97	26	98	35	128	32	132	40	157	39	120	38	1	0	68	12
chr10_63804852_63804909_+	2	2	6	1	26	8	24	7	28	8	32	8	38	8	51	16	40	10	0	0	38	10
chr1_94833064_94833066_+	12	5	7	4	4	20	7	12	7	26	7	15	7	19	9	16	9	20	2	0	16	30
chr3_123704132_123704201_+	2	0	20	1	28	3	39	3	60	4	48	7	71	6	84	8	58	4	2	0	17	0
chr9_35641934_35642004_-	2	1	8	2	68	8	51	19	69	17	114	17	105	21	87	16	66	18	0	0	43	5
chr14_10861033_10861038_+	2	2	10	1	49	9	29	9	58	8	73	6	75	18	80	13	60	10	0	0	27	5
chr14_83456073_83456077_-	4	2	20	4	40	20	24	10	44	23	44	9	43	17	53	24	36	16	1	0	11	4
chr8_113955884_113955967_+	19	20	114	31	135	42	110	43	169	54	206	59	209	77	246	89	202	66	1	0	101	32
chr12_42530080_42530108_+	26	24	60	7	159	87	118	80	178	100	188	97	187	116	216	137	173	102	1	0	77	27
chr20_11872434_11872526_+	28	18	29	16	30	48	19	56	33	80	43	85	26	93	52	116	38	85	0	0	26	29
chr5_30456334_30456381_+	17	14	139	43	152	46	119	50	177	71	123	32	181	61	218	112	151	56	10	4	156	47
chr1_148619422_148619448_+	7	8	59	21	90	50	37	29	97	51	56	30	73	57	93	54	62	37	4	1	54	19
chr19_53833909_53833998_-	9	9	47	10	61	30	71	36	97	35	118	35	96	49	150	83	108	41	0	0	34	11
chr11_68377919_68378002_+	3	1	12	0	10	4	3	2	14	8	10	1	6	7	11	11	3	0	1	0	7	6
chr2_140456585_140456586_-	2	0	8	1	14	8	11	4	23	8	28	10	24	10	27	11	14	8	0	0	10	3
chr4_143969093_143969187_+	69	46	140	60	76	119	65	120	109	189	68	120	88	197	144	206	85	142	7	7	183	102
chr4_48676190_48676289_-	2	2	2	1	18	26	41	44	25	32	44	57	40	75	38	54	19	57	0	0	40	25
chr6_3206981_3206987_+	43	25	164	73	227	94	152	85	246	101	235	121	275	150	283	135	235	107	11	4	150	51
chr5_30475949_30475978_+	24	20	157	42	182	63	138	70	202	97	155	38	181	75	218	114	176	51	12	4	147	51
chr10_86552565_86552571_+	2	1	14	3	16	10	13	4	17	8	32	12	38	10	25	10	20	10	0	0	15	3
chr9_73878443_73878510_+	2	0	10	1	7	0	8	3	9	3	14	5	7	2	16	7	7	2	0	0	7	2
chr9_74518077_74518149_+	4	2	31	15	41	23	27	12	73	33	38	20	58	43	57	32	61	11	7	1	65	19
chr3_98089769_98089833_+	21	11	25	16	12	17	12	13	18	45	17	25	17	50	15	42	16	25	0	0	22	27
chr10_43609496_43609584_+	6	2	35	18	59	20	40	32	75	40	52	36	71	41	110	40	89	29	0	0	48	6
chr1_148545485_148545516_+	5	3	33	9	44	8	12	9	50	17	39	7	55	22	61	14	43	9	2	0	19	4
chr4_143835952_143836024_+	20	19	56	20	44	60	31	40	69	87	42	52	56	96	81	75	52	50	3	5	93	52
chr7_27859778_27859821_+	2	1	13	3	19	6	10	6	9	3	13	4	14	8	24	4	13	8	1	0	15	6
chr1_94832240_94832308_+	9	7	13	2	8	15	5	17	23	34	11	16	19	30	14	19	15	18	0	0	13	18
chr3_149485382_149485458_+	9	7	27	7	38	28	28	23	36	46	57	36	69	54	53	37	44	18	0	1	27	10
chr10_46293151_46293155_-	3	2	32	13	42	1	42	7	50	11	62	8	48	10	79	18	50	10	1	0	33	8
chr5_21996500_21996521_-	5	1	24	9	58	15	40	17	87	30	77	22	92	37	63	18	31	18	4	0	24	9
chr3_116813127_116813132_+	6	2	18	5	19	7	24	6	34	12	34	18	41	20	36	14	28	15	2	0	20	4
chr2_163712985_163713028_-	6	4	16	3	16	13	8	13	17	18	19	23	16	20	25	18	19	28	0	0	8	6
chr4_152367723_152367753_+	3	1	23	7	11	3	14	7	16	7	12	3	20	6	33	11	28	4	1	0	22	3
chr3_59885209_59885212_-	0	1	15	3	29	1	5	1	29	0	0	3	37	2	4	2	27	3	0	0	34	2
chr8_112643501_112643590_+	8	3	5	1	5	29	6	16	5	16	5	12	2	30	11	35	2	23	0	0	6	10
chr12_43747182_43747265_+	4	4	23	4	73	16	42	22	63	28	105	24	119	29	96	34	72	20	0	0	45	5
chr10_59863213_59863286_+	20	19	20	7	11	85	19	78	30	128	13	73	16	161	28	166	13	111	1	0	27	59
chr19_374986_375085_-	16	15	92	37	157	51	120	42	173	70	209	67	203	71	212	92	183	63	0	0	52	20
chr1_94832897_94832983_-	14	4	7	2	17	19	21	15	22	23	28	24	14	30	14	12	11	21	6	1	39	32
chr20_11691829_11691871_+	20	21	148	47	118	51	102	64	156	87	131	70	175	102	189	130	160	70	1	0	86	30
chrX_56689292_56689365_-	22	17	163	43	617	119	378	129	705	172	528	130	676	201	800	234	701	206	0	1	210	30
chr4_143997649_143997714_+	37	25	27	17	40	130	24	100	55	174	37	139	45	181	51	178	31	148	4	4	38	78
chr1_64148350_64148403_-	5	3	24	8	16	12	14	11	33	7	35	14	44	15	25	12	19	9	1	0	31	4
chr9_83744339_83744427_-	22	4	15	10	35	63	30	48	38	85	43	73	45	105	55	118	20	76	0	2	8	22
chr4_185678061_185678068_+	33	23	159	60	127	22	108	44	158	55	217	70	241	72	239	89	192	57	12	2	127	41
chr7_27584795_27584869_+	4	0	23	9	23	7	11	2	45	12	36	8	43	8	55	6	21	8	2	0	22	5
chr7_55588358_55588440_+	6	3	9	2	12	10	8	16	17	19	14	15	12	20	18	27	19	10	0	1	12	9
chr19_24872593_24872684_+	1	2	18	6	33	7	51	12	47	15	73	9	53	10	71	12	43	9	0	0	53	9
chr11_84365170_84365229_+	8	8	32	11	97	48	103	57	113	60	152	93	143	88	145	89	129	51	2	0	30	19
chr8_62389997_62390005_+	4	0	3	0	8	10	10	10	9	13	8	10	11	19	10	20	6	11	0	0	8	5
chr2_197234451_197234522_+	16	3	5	0	7	33	10	34	3	57	4	23	2	48	2	46	2	37	0	2	3	9
chr19_367758_367802_-	1	0	12	3	13	4	3	1	7	4	5	0	10	5	10	3	5	5	0	0	16	2
chr1_199300440_199300516_+	8	5	29	8	22	10	20	11	31	17	31	11	39	20	49	20	27	9	2	2	29	9
chr13_68732677_68732732_+	6	4	18	4	13	7	17	18	18	17	17	18	37	22	33	32	23	16	2	0	14	8
chr20_8881259_8881351_-	0	0	4	1	17	14	16	13	24	17	25	17	22	20	31	15	28	15	0	0	20	9
chr9_78768008_78768083_-	23	19	47	20	53	51	55	50	77	96	80	71	70	114	104	115	56	78	5	1	37	27
chr1_207353340_207353401_+	11	8	60	35	67	14	43	23	108	31	67	17	86	33	139	47	116	25	0	0	94	27
chr3_9008354_9008434_+	9	6	54	26	64	7	21	10	52	19	50	12	51	23	65	22	56	8	5	3	61	18
chr5_21997475_21997517_-	6	5	54	27	87	12	74	21	109	17	83	18	118	26	129	35	98	15	9	1	96	20
chr7_95934137_95934215_+	7	7	47	16	28	12	13	6	33	23	27	9	38	23	38	20	36	10	7	2	51	23
chr1_207345615_207345617_+	4	3	30	12	21	9	11	8	27	18	17	7	21	13	34	20	28	18	4	1	39	18
chr3_123706357_123706363_+	6	2	54	23	59	7	62	12	75	14	87	16	102	30	117	30	108	19	0	0	37	2
chr1_207350499_207350512_+	20	15	37	19	37	36	23	38	38	50	36	32	40	51	68	80	60	54	5	3	43	27
chr18_71097957_71097984_+	2	0	13	2	20	5	18	8	33	6	28	7	35	5	56	11	39	5	0	0	10	1
chr1_204603480_204603577_+	1	0	6	1	3	9	0	7	4	6	2	8	7	7	12	11	15	4	0	0	10	10
chr20_10851534_10851578_+	1	0	8	0	14	4	16	1	18	7	22	4	17	8	24	4	18	2	0	0	9	2
chr4_143706359_143706394_+	9	7	54	23	40	22	23	19	52	27	46	21	62	47	77	40	51	25	6	2	46	17
chr1_64144779_64144823_-	5	1	7	2	5	2	4	10	6	9	15	3	7	9	12	8	8	8	0	0	9	5
chr1_149127229_149127314_+	10	1	39	19	48	26	19	18	61	31	54	18	52	21	93	28	69	21	2	1	35	3
chr5_169516682_169516719_-	10	6	43	26	24	10	26	14	40	21	30	16	33	19	42	29	29	12	0	0	36	31
chr13_80234582_80234583_-	0	0	0	0	2	6	17	12	2	4	17	15	7	17	21	24	0	12	0	0	26	20
chr6_104471531_104471594_+	8	8	59	30	114	33	31	21	71	35	44	29	88	46	99	43	67	35	1	0	49	16
chr7_37714132_37714136_+	15	13	59	34	80	34	97	50	126	62	143	67	141	91	171	75	135	59	6	2	81	38
chr4_94053363_94053365_+	2	0	4	0	1	2	1	0	2	2	0	3	2	10	5	1	1	2	0	0	5	4
chr1_149259108_149259134_+	3	1	19	7	24	10	29	7	26	15	20	8	32	8	33	11	19	7	2	0	20	5
chr2_197236879_197236924_+	16	9	7	1	3	53	4	47	8	80	3	36	3	64	4	90	0	42	0	1	5	19
chr4_143837783_143837838_+	28	26	85	31	73	80	30	70	78	127	50	53	72	121	91	102	56	57	6	7	98	58
chr7_95915090_95915145_+	5	4	28	10	34	9	15	10	30	19	18	5	35	13	44	25	26	17	2	1	22	10
chr10_87124376_87124428_+	2	2	50	16	36	17	21	11	38	27	37	15	30	32	50	26	30	15	0	0	25	5
chr1_80282047_80282119_-	63	32	17	17	20	90	20	73	21	139	24	77	28	192	30	114	7	109	1	2	26	59
chr12_11537042_11537111_-	3	0	6	0	7	0	4	2	6	4	4	1	7	7	3	4	2	1	0	0	3	4
chr2_33867525_33867541_-	0	0	12	0	10	0	2	0	7	4	9	6	12	4	20	3	6	1	0	0	7	2
chr3_154925981_154926037_+	9	6	55	34	204	45	182	37	240	54	293	52	276	79	261	75	240	56	0	0	109	14
chr6_128871531_128871541_-	3	0	7	0	2	6	2	3	8	5	6	5	4	6	6	8	2	3	0	0	4	2
chr8_57449751_57449846_-	15	12	34	16	67	65	52	33	62	78	94	86	94	88	114	109	65	75	1	0	29	14
chr18_63641556_63641600_+	3	3	17	4	22	10	13	10	16	18	20	5	16	14	27	24	11	16	0	0	13	5
chr12_2530100_2530101_+	4	1	7	3	8	7	6	5	15	9	15	10	12	13	15	9	12	9	0	0	9	9
chr7_72306215_72306217_-	1	0	8	0	24	4	13	3	21	4	30	4	24	4	25	7	17	1	0	0	9	1
chr10_83112707_83112766_-	13	8	8	1	24	62	27	66	32	54	33	107	43	64	32	136	51	56	1	0	6	20
chr4_143876447_143876449_+	6	5	22	11	31	35	24	18	44	32	34	23	25	35	51	39	32	41	1	0	24	22
chr1_64153081_64153111_-	3	2	12	2	16	12	7	5	10	19	16	11	17	20	22	16	14	11	2	0	14	8
chr10_83044553_83044556_-	14	4	5	5	4	22	9	20	12	31	6	17	3	22	14	33	7	21	0	0	10	25
chr18_32050107_32050144_+	11	7	25	13	39	21	26	32	42	42	22	19	36	31	46	44	33	27	3	2	33	17
chr9_36344881_36344976_+	4	2	4	1	8	4	3	5	11	13	13	6	5	15	14	7	5	9	0	0	10	11
chr2_40819093_40819095_+	3	0	19	6	24	5	17	9	24	11	33	7	27	14	33	15	22	9	2	0	13	6
chr10_59869404_59869498_+	34	33	20	6	8	56	4	71	11	111	10	62	10	113	15	123	1	91	1	1	10	64
chr3_8985838_8985885_+	3	2	27	11	18	7	9	5	27	5	11	2	27	9	23	6	12	1	0	0	19	8
chr4_152361102_152361168_+	13	13	96	47	110	37	62	34	155	67	77	30	116	49	127	66	127	39	4	1	91	28
chr3_156006281_156006288_+	10	6	23	14	36	45	33	34	38	46	41	60	40	60	46	65	54	59	0	0	17	14
chr1_207341277_207341279_+	2	1	9	1	9	8	7	7	12	14	8	4	9	8	19	10	11	10	0	0	11	3
chr10_14987783_14987881_+	11	7	33	16	26	29	24	28	43	30	29	27	32	37	46	59	29	32	4	1	28	14
chr7_55480605_55480684_+	70	42	227	77	295	185	226	166	307	277	388	228	354	311	471	360	350	232	17	14	188	88
chr15_45730490_45730503_+	2	1	12	3	16	9	12	3	24	7	19	9	26	11	32	20	19	12	0	0	11	3
chr4_143820854_143820943_+	27	22	117	42	137	152	60	106	170	224	94	89	133	219	160	141	130	113	12	12	135	94
chr4_160665262_160665265_-	8	5	14	5	15	10	14	17	12	26	29	21	15	21	19	30	16	18	1	1	13	11
chr14_66908334_66908348_+	4	0	8	0	16	28	21	19	25	36	31	30	26	32	33	54	31	27	2	1	8	11
chr6_104483014_104483083_+	9	6	61	29	82	28	33	10	20	5	20	6	30	8	41	11	25	6	0	0	25	5
chr8_48957114_48957115_-	1	3	17	3	35	15	37	12	36	13	45	17	44	20	43	21	37	14	1	0	26	9
chr10_89574492_89574494_-	4	4	8	2	13	16	11	7	19	17	11	17	15	18	18	21	21	20	0	0	13	15
chr15_59760333_59760429_-	0	1	14	1	15	13	9	2	18	6	9	9	14	11	18	15	9	4	0	0	11	3
chr10_86720909_86720997_-	7	4	5	1	0	21	4	15	5	23	3	21	10	27	7	37	5	30	0	0	6	15
chr1_64172561_64172563_+	0	0	5	0	3	0	0	2	8	0	0	2	7	0	0	0	6	0	0	0	10	0
